method,dataset,mean,std
CTGAN,adult,0.0934,0.1242
CTGAN,beijing,0.0000,0.0000
CTGAN,default,0.0000,0.0000
CTGAN,diabetes,0.0226,0.0096
CTGAN,magic,0.0023,0.0052
CTGAN,news,0.0824,0.0175
CTGAN,shoppers,0.0000,0.0000
TVAE,adult,5.7775,1.6151
TVAE,beijing,0.0059,0.0029
TVAE,default,0.0874,0.0350
TVAE,diabetes,14.1846,9.6827
TVAE,magic,0.0140,0.0147
TVAE,news,0.2175,0.0697
TVAE,shoppers,0.0162,0.0075
GReaT,adult,0.0000,0.0000
GReaT,beijing,1.4199,0.0606
GReaT,default,12.5178,0.1007
GReaT,magic,0.3529,0.0517
GReaT,shoppers,10.6047,0.2320
STaSy,adult,0.9809,0.2132
STaSy,beijing,0.4454,0.1188
STaSy,default,0.4504,0.1140
STaSy,diabetes,0.0000,
STaSy,magic,0.2746,0.1323
STaSy,news,0.2433,0.1508
STaSy,shoppers,0.7101,0.9099
CoDi,adult,0.0276,0.0104
CoDi,beijing,0.0000,0.0000
CoDi,default,0.0000,0.0000
CoDi,diabetes,0.0000,
CoDi,magic,0.0374,0.0158
CoDi,news,0.0006,0.0013
CoDi,shoppers,0.0000,0.0000
TabSyn,adult,1.6842,0.1084
TabSyn,beijing,0.5732,0.1172
TabSyn,default,1.1444,0.0626
TabSyn,diabetes,0.6296,0.0252
TabSyn,magic,0.0584,0.0160
TabSyn,news,1.0325,0.1639
TabSyn,shoppers,1.8564,0.2962
TabDiff,adult,1.8673,0.0624
TabDiff,beijing,0.6386,0.0518
TabDiff,default,1.4067,0.0647
TabDiff,diabetes,1.0662,0.5802
TabDiff,magic,0.0608,0.0270
TabDiff,news,0.8178,0.1928
TabDiff,shoppers,2.2601,0.2484
SimpleFactors,adult,0.0000,0.0000
SimpleFactors,beijing,0.0000,0.0000
SimpleFactors,default,0.0000,0.0000
SimpleFactors,diabetes,0.0095,0.0032
SimpleFactors,magic,0.0000,0.0000
SimpleFactors,news,0.0000,0.0000
SimpleFactors,shoppers,0.0000,0.0000
FullyFactorizedPreprocessed,adult,0.0424,0.0120
FullyFactorizedPreprocessed,beijing,0.0841,0.0101
FullyFactorizedPreprocessed,default,0.0000,0.0000
FullyFactorizedPreprocessed,diabetes,0.0111,0.0036
FullyFactorizedPreprocessed,magic,0.0000,0.0000
FullyFactorizedPreprocessed,news,0.0000,0.0000
FullyFactorizedPreprocessed,shoppers,0.0018,0.0040
FullyFactorizedRandom,adult,0.0000,0.0000
FullyFactorizedRandom,beijing,0.0005,0.0012
FullyFactorizedRandom,default,0.0000,0.0000
FullyFactorizedRandom,diabetes,0.0000,0.0000
FullyFactorizedRandom,magic,0.0000,0.0000
FullyFactorizedRandom,news,0.0000,0.0000
FullyFactorizedRandom,shoppers,0.0000,0.0000
ShallowMixture,adult,2.0159,0.1441
ShallowMixture,beijing,0.9340,0.0701
ShallowMixture,default,0.8207,0.1759
ShallowMixture,diabetes,0.0694,0.0398
ShallowMixture,magic,0.5398,0.1367
ShallowMixture,news,0.0695,0.0597
ShallowMixture,shoppers,1.6419,0.3882
TabPC,adult,1.9029,0.1342
TabPC,beijing,0.5311,0.0419
TabPC,default,0.8719,0.0937
TabPC,diabetes,1.4344,0.0495
TabPC,magic,0.1718,0.0479
TabPC,news,0.4316,0.3200
TabPC,shoppers,2.5773,0.1746
